task,jinja
"1. print the string ""Hello""
","```
{{ ""Hello"" }}
```"
"2. print the number 42
","```
{{ 42 }}
```"
"3. render the string ""Welcome""
","```jinja2
{{ ""Welcome"" }}
```"
"4. render the number 100
","```
{{ 100 }}
```"
"5. print a variable named ""username""
","```jinja2
{{ username }}
```"
"6. render a variable named ""price""
","```jinja2
{{ price }}
```"
"7. convert the string ""HELLO"" to lowercase and print it
","```jinja2
{{ ""HELLO"".lower() }}
```"
"8. convert the string ""world"" to uppercase and print it
","```
{{ ""world"".upper() }}
```"
"9. convert a variable ""name"" to title case and render it
","```jinja2
{{ name|title }}
```"
"10. truncate the number 3.14159 and print it
","```jinja2
{{ 3.14159 | round(0) }}
```"
"11. convert the number 25 to string and store in variable ""age_str""
","```
{% set age_str = 25|to_string %}
```"
"12. concatenate ""Hello"" and ""World"" and render the result
","```
{{ ""Hello"" ~ ""World"" }}
```"
"13. join variable ""first_name"" and ""last_name"" with a space and print it
","```jinja2
{{ first_name }} {{ last_name }}
```"
"14. set variable ""message"" to ""Good morning"" and print it
","```jinja2
{{ message = ""Good morning"" }}
{{ message }}
```"
"15. set variable ""count"" to 10 and render it
","```
{{ count = 10 }}
{{ count }}
```"
"16. print the string ""Error: Not found""
","```
{{ ""Error: Not found"" }}
```"
"17. render the number 0
","```
{{ 0 }}
```"
"18. convert ""Customer Service"" to lowercase and print it
","```jinja2
{{ ""Customer Service"" | lower }}
```"
"19. convert variable ""title"" to uppercase and render it
","```jinja2
{{ title.upper() }}
```"
"20. convert ""home page"" to title case and render it
","```jinja2
{{ ""home page"" | title }}
```"
"21. truncate variable ""salary"" and print it
","```
{{ salary|truncate(5) }}
```"
"22. convert variable ""id"" to string and store in ""user_id""
","```
{{ user_id = str(id) }}
```"
"23. concatenate ""Mr."" and variable ""surname"" and print it
","```jinja2
{{ ""Mr. "" + surname }}
```"
"24. join ""Good"" and ""Bye"" and render the result
","```jinja2
{{ ""Good"" + ""Bye"" }}
```"
"25. set variable ""status"" to ""active"" and print it
","```jinja2
{{ status = ""active"" }}
{{ status }}
```"
"26. print the string ""Loading...""
","```
{{ ""Loading..."" }}
```"
"27. render the number -5
","```
{{ -5 }}
```"
"28. convert ""DATABASE"" to lowercase and print it
","```
{{ ""DATABASE"".lower() }}
```"
"29. convert ""api endpoint"" to title case and render it
","```jinja2
{{ ""api endpoint"" | title }}
```"
"30. truncate the number 99.99 and print it
","```jinja2
{{ 99.99 | round(0) }}
```"
"31. convert the number 0 to string and store in ""zero_str""
","```jinja2
{% set zero_str = ""0"" %}
```"
"32. concatenate variable ""prefix"" and ""suffix"" and render it
","```jinja2
{{ prefix }}{{ suffix }}
```"
"33. join ""Thank"" and ""You"" with a space and print it
","```jinja2
{{ ""Thank"" ~ ""You"" ~ "" "" }}
```"
"34. set variable ""level"" to 1 and render it
","```
{{ level = 1 }}
```"
"35. print the string ""Success!""
","```
{{ ""Success!"" }}
```"
"36. render the number 3.14
","```
{{ 3.14 }}
```"
"37. convert ""ADMIN"" to lowercase and print it
","```jinja2
{{ ""ADMIN"" | lower }}
```"
"38. convert variable ""department"" to uppercase and render it
","```jinja2
{{ department.upper() }}
```"
"39. convert ""user profile"" to title case and print it
","```jinja2
{{ ""user profile"".title() }}
```"
"40. truncate variable ""budget"" and print it
","```jinja2
{{ budget|truncate(40) }}
```"
"41. convert variable ""score"" to string and store in ""result""
","```jinja2
{{ result = str(score) }}
```"
"42. concatenate ""Version "" and ""2.0"" and print it
","```
{{ ""Version "" + ""2.0"" }}
```"
"43. join variable ""city"" and ""country"" and render the result
","```jinja2
{{ city }} {{ country }}
```"
"44. set variable ""priority"" to ""high"" and print it
","```
{{ priority = ""high"" }}
{{ priority }}
```"
"45. print the string ""Process completed""
","```
{{ ""Process completed"" }}
```"
"46. render the number 1000
","```
{{ 1000 }}
```"
"47. convert ""SYSTEM"" to lowercase and print it
","```jinja2
{{ ""SYSTEM"".lower() }}
```"
"48. convert ""contact us"" to title case and render it
","```jinja2
{{ ""contact us"" | title }}
```"
"49. truncate the number 45.67 and print it
","```jinja2
{{ 45.67 | round(0) }}
```"
"50. convert the number 100 to string and store in ""limit_str""
","```jinja2
{{ limit_str = ""100"" }}
```"
"51. concatenate ""User: "" and variable ""email"" and print it
","```jinja2
{{ ""User: "" + email }}
```"
"52. join ""Start"" and ""End"" and render the result
","```jinja2
{{ ""Start"" ~ ""End"" }}
```"
"53. set variable ""mode"" to ""debug"" and print it
","```jinja2
{% set mode = ""debug"" %}
{{ mode }}
```"
"54. print the string ""File not found""
","```
{{ ""File not found"" }}
```"
"55. render the number 50
","```jinja2
{{ 50 }}
```"
"56. convert ""NOTIFICATION"" to lowercase and print it
","```jinja2
{{ ""NOTIFICATION"".lower() }}
```"
"57. convert variable ""category"" to uppercase and render it
","```jinja2
{{ category.upper() }}
```"
"58. convert ""about us"" to title case and print it
","```jinja2
{{ ""about us"".title() }}
```"
"59. truncate variable ""amount"" and print it
","```jinja2
{{ amount|truncate(5) }}
```"
"60. convert variable ""port"" to string and store in ""port_str""
","```
{{ port_str = str(port) }}
```"
"61. concatenate ""ID: "" and variable ""user_id"" and render it
","```
{{ ""ID: "" + user_id }}
```"
"62. join ""Begin"" and ""Process"" and print it
","```jinja2
{{ ""Begin"" + ""Process"" }}
```"
"63. set variable ""theme"" to ""dark"" and render it
","```
{{ theme = ""dark"" }}
```"
"64. print the string ""Connection established""
","```
{{ ""Connection established"" }}
```"
"65. render the number 404
","```jinja2
{{ 404 }}
```"
"66. convert ""CONFIGURATION"" to lowercase and print it
","```
{{ ""CONFIGURATION"".lower() }}
```"
"67. convert ""main menu"" to title case and render it
","```jinja2
{{ ""main menu"" | title }}
```"
"68. truncate the number 78.9 and print it
","```jinja2
{{ 78.9 | round(0) }}
```"
"69. convert the number 200 to string and store in ""status_code""
","```jinja2
{{ status_code = ""200"" }}
```"
"70. concatenate variable ""label"" and "":"" and print it
","```jinja2
{{ label }}:
```"
"71. join ""Open"" and ""Close"" and render the result
","```jinja2
{{ ""Open"" ~ ""Close"" }}
```"
"72. set variable ""environment"" to ""production"" and print it
","```jinja2
{% set environment = ""production"" %}
{{ environment }}
```"
"73. print the string ""Data saved""
","```jinja2
{{ ""Data saved"" }}
```"
"74. render the number 12.5
","```
{{ 12.5 }}
```"
"75. convert ""SETTINGS"" to lowercase and print it
","```jinja2
{{ ""SETTINGS"".lower() }}
```"
"76. convert variable ""region"" to uppercase and render it
","```jinja2
{{ region.upper() }}
```"
"77. convert ""privacy policy"" to title case and print it
","```jinja2
{{ ""privacy policy"".title() }}
```"
"78. truncate variable ""temperature"" and print it
","```jinja2
{{ temperature|truncate(5) }}
```"
"79. convert variable ""timeout"" to string and store in ""timeout_str""
","```jinja2
{{ timeout_str = str(timeout) }}
```"
"80. concatenate ""Name: "" and variable ""full_name"" and render it
","```jinja2
{{ ""Name: "" + full_name }}
```"
"81. join ""Save"" and ""Load"" and print it
","```jinja2
{{ ""Save"" + ""Load"" }}
```"
"82. set variable ""protocol"" to ""https"" and render it
","```
{{ protocol = ""https"" }}
```"
"83. print the string ""Update available""
","```
{{ ""Update available"" }}
```"
"84. render the number 365
","```
{{ 365 }}
```"
"85. convert ""METADATA"" to lowercase and print it
","```jinja2
{{ ""METADATA"".lower() }}
```"
