Rule,prompt,jinja,blended
"Print statement in Blended only accepts string or number as input","Write a jinja template to print ""Hello World"" and 42.","{{ ""Hello World"" }}  // string
{{ 42 }}            // number","{% print ""Hello World"" %}  // string
{% print 42 %}            // number"
"Print statement in Blended only accepts string or number as input","Write a jinja template to print the name ""Alice"" and age 25.","{{ ""Alice"" }}  // string
{{ 25 }}      // number","{% print ""Alice"" %}  // string
{% print 25 %}      // number"
"Print statement in Blended only accepts string or number as input","Write a jinja template to print ""Welcome"" and the number 100.","{{ ""Welcome"" }}  // string
{{ 100 }}       // number","{% print ""Welcome"" %}  // string
{% print 100 %}       // number"
"Print statement in Blended only accepts string or number as input","Write a jinja template to print ""Price:"" and 99.99.","{{ ""Price:"" }}  // string
{{ 99.99 }}     // number","{% print ""Price:"" %}  // string
{% print 99.99 %}     // number"
"Print statement in Blended doesn't accept any other thing","Write a jinja template to print boolean value","{{ true }} // boolean is valid here","{% print true %} // gives error"
"Print statement in Blended doesn't accept any other thing","Write a jinja template to print a list [1, 2, 3]","{{ [1, 2, 3] }} // list is valid here","{% print [1, 2, 3] %} // gives error"
"Print statement in Blended doesn't accept any other thing","Write a jinja template to print null value","{{ null }} // null is valid here","{% print null %} // gives error"
"Print statement in Blended doesn't accept any other thing","Write a jinja template to print an object {name: ""John""}","{{ {name: ""John""} }} // object is valid here","{% print {name: ""John""} %} // gives error"
"Render statement only accepts string or number as input","Write a jinja template to render ""Hello World"" and 42.","{{ ""Hello World"" }}  // string
{{ 42 }}            // number","{{ ""Hello World"" }}  // string
{{ 42 }}            // number"
"Render statement only accepts string or number as input","Write a jinja template to render ""Status"" and 200.","{{ ""Status"" }}  // string
{{ 200 }}       // number","{{ ""Status"" }}  // string
{{ 200 }}       // number"
"Render statement only accepts string or number as input","Write a jinja template to render ""Temperature"" and 36.5.","{{ ""Temperature"" }}  // string
{{ 36.5 }}          // number","{{ ""Temperature"" }}  // string
{{ 36.5 }}          // number"
"Render statement only accepts string or number as input","Write a jinja template to render ""Count"" and 0.","{{ ""Count"" }}  // string
{{ 0 }}        // number","{{ ""Count"" }}  // string
{{ 0 }}        // number"
"Render statement only accepts string or number as input","Write a jinja template to render boolean value","{{ true }} // boolean is valid here","{{ true }} // boolean not valid in blended"
"Render statement only accepts string or number as input","Write a jinja template to render boolean false","{{ false }} // boolean is valid here","{{ false }} // boolean not valid in blended"
