rule,question,answer
,set variable 'count' to 10 and render it,"{% set count = 10 %}
{{ count }}"
,convert variable 'id' to string and store in 'user_id',{% set user_id = id | string  %}
,convert variable 'score' to string and store in 'result',{% set result = score | string %}
,truncate variable 'salary' and print it,"{% print truncate(salary, 2) %}"
,join 'Thank' and 'You' with a space and print it,{% set temp = 'Thank' ~  'You' %}{% print temp %}
,convert the string 'world' to uppercase and print it,{% print  upper('world') %}
,convert the string 'world' to uppercase and print it,{% print  upper('world') %}
,concatenate 'Mr.' and variable 'surname' and print it,{% set temp = 'Mr. ' ~  surname %}{% print temp %}
,print the string 'Loading...',{% print 'Loading...' %}
,concatenate 'Version ' and '2.0' and print it,{% set temp = 'Version' ~  '2.0' %}{% print temp %}
,truncate the number 3.14159 and render it,"{{ truncate(3.14159, 2) }}"
,truncate the number 3.14159 and print it,"{% print truncate(3.14159, 2) %}"
,loop through numbers 1 to 5 and display Count: + number for odd numbers only,"{% for i in range(1 , 6) %}{% if i % 2 == 1 %}{{'Count: ' ~  i|string }}{% endif %}{% endfor %}"
,"set variable 'level' to 1 if experience < 5, else 2, then convert to string and print 'Level: ' + result",{% set level = 0 %} {% if experience < 5 %} {% set level = 1 %} {% else %} {% set level = 2 %} {% endif %} {% print 'Level: ' ~ level | string %}
,join 'Good' and 'Bye' and render the result,"{{ join('Good', 'Bye') }}"
,Write a template to create a range from 0 to variable 'max_count' and assign it to variable 'a'.,"{% set a = range(0, max_count) %}"
,Write a template to create a range from 0 to variable limit and assign it to variable 'a'.,"{% set a = range(0, limit) %}"
,Write a template to create a range from 2 to 12 and assign it to variable 'a'.,"{% set a = range(2, 13) %}"
,Write a template to create a range from 5 to variable end_num and assign it to variable 'a'.,"{% set a = range(5, end_num) %}"
,set variable 'message' to 'Good morning' and print it,"{% set message = 'Good morning' %}
{% print message %}"
,set variable 'status' to 'active' and print it,"{% set status = 'active' %}
{% print status %}"
,concatenate variable 'prefix' and 'suffix' and render it,{{ prefix ~ suffix }}
,set variable 'level' to 1 and render it,{% set level = 1 %} {{level}}
,"join variable 'city' and 'country', convert it to upper case and print it",{% print  upper(city ~ country) %}
,set variable 'priority' to 'high' and render it after converting to upper case,"{% set priority = 'high' %}
{{ upper(priority) }}"
,"concatenate 'Hello ' and variable 'name', then convert the result to title case and render it",{{ title('Hello ' ~ name)  }}
,"convert 'CUSTOMER SUPPORT' to title case, then set variable 'department' to obtained result, then render with ' Team'",{% set department = title('CUSTOMER SUPPORT') %} {{ department ~ ' Team' }}
,"convert 'user profile settings' to title case, then set 'page_title' to result, then print it",{% set page_title = title('user profile settings') %} {% print page_title %}
,"set variable 'size' to 'large' if quantity > 10, else 'small', then convert to uppercase and render it",{% set size = '' %} {% if quantity > 10 %} {% set size = 'large' %} {% else %} {% set size = 'small' %} {% endif %} {{ upper(size) }}
,"concatenate 'Order #' and variable 'order_id', then set 'order_label' to result, then print it",{% set order_label = 'Order #' ~ order_id %} {% print order_label %}
,"convert 'BACKUP COMPLETED' to title case, then set 'status_msg' to result, then print it","{% set status_msg = title('BACKUP COMPLETED') %}
{% print status_msg %}"
,"concatenate variable 'protocol' and '://' and variable 'hostname', then print 'URL: ' + result","{% set temp = 'URL: ' ~ protocol ~ '://' ~ hostname %}
{% print temp %}"
,"convert variable 'error_type' to uppercase, then set 'error_label' to 'ERROR: ' + result, then print it",{% set error_label = 'ERROR: ' ~ upper(error_type) %} {% print error_label %}
,"convert 'system administrator' to title case, then set 'role_name' to result, then render it",{% set role_name = title('system administrator') %} {{ role_name }}
,"concatenate 'Build ' and variable 'build_number', then convert to uppercase and render it",{{ upper('Build ' ~ build_number) }}
,"convert variable 'environment' to lowercase, then set variable 'env_name' to result + '_env', then print it",{% set env_name = lower(environment) ~ '_env' %} {% print env_name %}
,"concatenate variable 'user_type' and '_user', then convert to uppercase and render 'Type: ' + result",{% set temp =  'Type: ' ~ upper(user_type ~ '_user') %}{% print temp %}
,"convert 'CONFIGURATION LOADED' to title case, then set 'config_status' to result, then render it",{% set config_status = title('CONFIGURATION LOADED') %} {{ config_status }}
,"concatenate 'Session ' and variable 'session_id', then convert to lowercase and render it",{{ lower('Session ' ~ session_id) }}
,"convert variable 'module_name' to uppercase, then set variable 'module_label' to 'MODULE: ' + result, then print it",{% set module_label = 'MODULE: ' ~ upper(module_name) %} {% print module_label %}
,"concatenate variable 'hostname' and ':' and variable 'port', then set 'endpoint' to result, then render it","{% set endpoint = hostname ~ ':' ~ port %}
{{endpoint}}"
,print the string 'Hello',{% print 'Hello' %}
,print the number 42,{% print 42%}
,render the string 'Welcome',{{ 'Welcome' }}
,render the number 100,{{100}}
,print a variable named 'username',{% print username %}
,render a variable named 'price',{{price}}
,convert the string 'HELLO' to lowercase and print it,{% print lower('HELLO') %}
,convert the string 'HELLO' to lowercase and render it,{{ lower('HELLO') }}
,convert a variable 'name' to title case and render it,{{ title(name) }}
,convert the number 25 to string and store in variable 'age_str',{% set age_str = 25 | string %}
,concatenate 'Hello' and 'World' and render the result,{{ 'Hello' ~ 'World' }}
,concatenate 'Hello' and 'World' and print the result,{% set str = 'Hello' ~ 'World' %} {% print str %}
,join variable 'first_name' and 'last_name' with a space and print it,{% print first_name ~ ' ' ~ last_name %}
,join variable 'first_name' and 'last_name' with a space and renderit,{{ first_name ~ ' ' ~ last_name }}
,print the string 'Error: Not found',{% print 'Error: Not found' %}
,render the number 0,{{ 0 }}
,convert 'Customer Service' to lowercase and print it,{% print lower('Customer Service') %}
,convert variable 'title' to uppercase and render it,Error : Title is a reserved keyword in Blended. It cannot be used as variable nam
,convert 'home page' to title case and render it,{{ title('home page') }}
,render the number -5,{{ -5 }}
,convert 'DATABASE' to lowercase and print it,{% print lower('DATABASE') %}
,convert 'api endpoint' to title case and render it,{{ title('api endpoint') }}
,convert the number 0 to string and store in 'zero_str',{% set zero_str = '0' %}
,convert the number 0 to string and store in 'zero_str',{% set zero_str = 0 | string %}
,convert the number 0 to string and store in 'zero_str',{% set zero_str = '0' %}
,"Print list [1,2,3]","{% set temp = [1, 2, 3] %} {% print temp | string %}"
,Render a boolean value 'true',{% set temp = true %} {% print temp | string %}
,print the string 'Success!',{% print  'Success!' %}
,render the number 3.14,{{ 3.14 }}
,convert 'ADMIN' to lowercase and print it,{% print lower('ADMIN') %}
,convert variable 'department' to uppercase and render it,{{ upper(department) }}
,convert 'user profile' to title case and print it,{% print title('user profile') %}
,"convert variable 'country' to upper case, join with variable 'city', and print it.",{% set temp = upper(country) ~ city %} {% print  temp %}
,"Store the number 1000 in a variable 'num', then render it after joining it with 12","{% set num = 1000 %}
{{ num | string ~ '12' }}"
,convert 'SYSTEM' to lowercase and print it,{% print lower('SYSTEM') %}
,convert 'contact us' to title case and render it,{{ title('contact us')}}
,"set variable 'result' to 'pass' if score >= 60, else 'fail', then print it",{% set result = '' %} {% if score >= 60 %} {% set result = 'pass' %} {% else %} {% set result = 'fail' %} {% endif %} {% print result %}
,"set variable 'greeting' to 'Good morning' if time < 12, else 'Good evening', then print it",{% set greeting = '' %} {% if time < 12 %} {% set greeting = 'Good morning' %} {% else %} {% set greeting = 'Good evening' %} {% endif %} {{greeting}}
,"set variable 'access' to 'granted' if role == 'admin', else 'denied', then render it",{% set access = '' %} {% if role == 'admin' %} {% set access = 'granted' %} {% else %} {% set access = 'denied' %} {% endif %} {{access}}
,"convert variable 'email' to lowercase, then concatenate with '@domain.com' and print it",{% set temp = lower(email)  ~ '@domain.com' %} {% print temp %}
,"convert 'PRODUCT NAME' to title case, then concatenate with ' - Available' and render it",{% set temp = title('PRODUCT NAME')  ~ '- Available' %} {% print temp %}
