task,jinja
"141. set variable ""result"" to ""pass"" if score >= 60, else ""fail"", then print it
","```jinja2
{% set result = ""pass"" if score >= 60 else ""fail"" %}
{{ result }}
```"
"142. set variable ""discount"" to 10 if is_member is true, else 0, then render it
","```jinja2
{% set discount = 10 if is_member else 0 %}
{{ discount }}
```"
"143. set variable ""greeting"" to ""Good morning"" if time < 12, else ""Good evening"", then print it
","```jinja2
{% set greeting = ""Good morning"" if time < 12 else ""Good evening"" %}
{{ greeting }}
```"
"144. set variable ""access"" to ""granted"" if role == ""admin"", else ""denied"", then render it
","```jinja2
{% set access = ""granted"" if role == ""admin"" else ""denied"" %}
{{ access }}
```"
"145. convert variable ""email"" to lowercase, then concatenate with ""@domain.com"" and print it
","```jinja2
{{ email.lower() + '@domain.com' }}
```"
"146. convert ""PRODUCT NAME"" to title case, then concatenate with "" - Available"" and render it
","```jinja2
{{ ""PRODUCT NAME"" | title ~ "" - Available"" }}
```"
"147. truncate variable ""price"", convert to string, then concatenate with "" USD"" and print it
","```jinja2
{{ str(price|truncate(3)) ~ "" USD"" }}
```"
"148. set variable ""status"" to ""online"" if active is true, else ""offline"", then convert to uppercase and print it
","```jinja2
{{ ""online"" if active else ""offline"" | upper }}
```"
"149. concatenate ""Hello "" and variable ""name"", then convert the result to title case and render it
","```jinja2
{{ ""Hello "" ~ name | title }}
```"
"150. set variable ""level"" to 1 if experience < 5, else 2, then convert to string and print ""Level: "" + result
","```jinja2
{% set level = 1 if experience < 5 else 2 %}
Level: {{ level|string }}
```"
"151. convert variable ""title"" to lowercase, then set ""formatted_title"" to result + "" - draft"", then print it
","```jinja2
{% set formatted_title = title.lower() ~ ' - draft' %}
{{ formatted_title }}
```"
"152. set variable ""message"" to ""Welcome back"" if returning_user is true, else ""Welcome"", then print with ""!""
","```jinja2
{% if returning_user %}
  {% set message = ""Welcome back"" %}
{% else %}
  {% set message = ""Welcome"" %}
{% endif %}
{{ message }}!
```"
"153. truncate variable ""score"", then set ""grade"" to ""A"" if result >= 90 else ""B"", then print ""Grade: "" + grade
","```jinja2
{% set truncated_score = score | truncate(3) %}
{% set grade = ""A"" if truncated_score >= 90 else ""B"" %}
Grade: {{ grade }}
```"
"154. convert ""CUSTOMER SUPPORT"" to title case, then set ""department"" to result, then render with "" Team""
","```jinja2
{{ ""CUSTOMER SUPPORT"" | title ~ "" Team"" }}
```"
"155. set variable ""priority"" to ""high"" if urgent is true, else ""normal"", then convert to uppercase and print it
","```jinja2
{% set priority = ""high"" if urgent else ""normal"" %}
{{ priority|upper }}
```"
"156. concatenate variable ""first_name"" and ""last_name"" with space, then convert to title case and render it
","```jinja2
{{ (first_name ~ ' ' ~ last_name) | title }}
```"
"157. set variable ""mode"" to ""debug"" if development is true, else ""production"", then print ""Mode: "" + mode
","```jinja2
{% set mode = ""debug"" if development else ""production"" %}
Mode: {{ mode }}
```"
"158. convert variable ""category"" to uppercase, then set ""section"" to result + "" ITEMS"", then print it
","```jinja2
{% set category_upper = category | upper %}
{% set section = category_upper + "" ITEMS"" %}
{{ section }}
```"
"159. truncate variable ""amount"", then concatenate with "" dollars"" and store in ""formatted_amount"", then print it
","```jinja2
{% set formatted_amount = amount[:3] ~ ' dollars' %}
{{ formatted_amount }}
```"
"160. set variable ""theme"" to ""dark"" if preference == ""night"", else ""light"", then render ""Theme: "" + theme
","```jinja2
{% set theme = ""dark"" if preference == ""night"" else ""light"" %}
Theme: {{ theme }}
```"
