prompt,jinja,blended,Correct/Incorrect,Incorrect code
"1. print the string ""Hello""","{{ ""Hello"" }}","{% print ""Hello"" %}",Correct,
2. print the number 42,{{ 42 }},{% print 42%},Correct,
"3. render the string ""Welcome""","{{ ""Welcome"" }}","{{ ""Welcome"" }}",Correct,
4. render the number 100,{{ 100 }},{{100}},Correct,
"5. print a variable named ""username""",{{ username }},{% print username %},Correct,
"6. render a variable named ""price""",{{ price }},{{price}},Correct,
"7. convert the string ""HELLO"" to lowercase and print it","{{ ""HELLO"".lower() }}","{% print lower(""HELLO"") %}",Correct,
"7. convert the string ""HELLO"" to lowercase and render it","{{ ""HELLO"" | lower }}","{{ lower(""HELLO"") }}",Correct,
"8. convert the string ""world"" to uppercase and print it","{{ ""world"".upper() }}","{% print  upper(""world"") % }",Correct,
"8. convert the string ""world"" to uppercase and print it","{{ ""world"" | upper }}","{% print  upper(""world"") % }",Correct,
"9. convert a variable ""name"" to title case and render it",{{ name|title }},{{ title(name) }},Correct,
10. truncate the number 3.14159 and print it,{{ 3.14159 | round(0) }},{% print truncate(3.14159) %},Correct,
10. truncate the number 3.14159 and render it,{{ 3.14159 | truncate }},{{ truncate(3.14.159) }},Correct,
10. truncate the number 3.14159 and print it,{{ 3.14159 | truncate }},{% print truncate(3.14.159) %},Correct,
"11. convert the number 25 to string and store in variable ""age_str""",{% set age_str = 25 | string %},{% set age_str = 25 | string %},Correct,
"12. concatenate ""Hello"" and ""World"" and render the result","{{ ""Hello"" ~ ""World"" }}","{{ ""Hello"" ~ ""World"" }}",Correct,
"12. concatenate ""Hello"" and ""World"" and print the result","{{ ""Hello"" + ""World"" }}","{% set str = ""Hello"" ~ ""World"" %} {% print str %}",Correct,
"13. join variable ""first_name"" and ""last_name"" with a space and print it","{{ first_name + "" "" + last_name }}","{% print first_name ~ "" "" ~ last_name %}",Correct,
"13. join variable ""first_name"" and ""last_name"" with a space and renderit","{{ first_name ~ "" "" ~ last_name }}","{{ first_name ~ "" "" ~ last_name }}",Correct,
"16. print the string ""Error: Not found""","{{ ""Error: Not found"" }}","{% print ""Error: Not found"" %}",Correct,
17. render the number 0,{{ 0 }},{{ 0 }},Correct,
"18. convert ""Customer Service"" to lowercase and print it","{{ ""Customer Service"" | lower }}","{% print lower(""Customer Service"") %}",Correct,
"19. convert variable ""title"" to uppercase and render it",{{ title.upper() }},Error : Title is a reserved keyword in Blended. It cannot be used as variable nam,Correct,
"20. convert ""home page"" to title case and render it","{{ ""home page"" | title }}","{{ title(""home page"") }}",Correct,
"21. truncate variable ""salary"" and print it",{{ salary|truncate(5) }},{% print truncate(salary) }},Correct,
"23. concatenate ""Mr."" and variable ""surname"" and print it","{{ ""Mr. "" + surname }}","{% set temp = ""Mr. "" ~  surname % }{% print temp %}",Correct,
"24. join ""Good"" and ""Bye"" and render the result","{{ ""Good"" + ""Bye"" }}","{{ ""Good"" + ""Bye"" }}",Correct,
"26. print the string ""Loading...""","{{ ""Loading..."" }}","{% print ""Loading..."" }",Correct,
27. render the number -5,{{ -5 }},{{ -5 }},Correct,
"28. convert ""DATABASE"" to lowercase and print it","{{ ""DATABASE"".lower() }}","{% print lower(""DATABASE"") %}",Correct,
"29. convert ""api endpoint"" to title case and render it","{{ ""api endpoint"" | title }}","{{ title(""api endpoint"") }}",Correct,
30. truncate the number 99.99 and print it,{{ 99.99 | round(0) }},{% print truncate(99.99) %},Correct,
"31. convert the number 0 to string and store in ""zero_str""","{% set zero_str = ""0"" %}","{% set zero_str = ""0"" %}",Correct,
"31. convert the number 0 to string and store in ""zero_str""",{% set zero_str = 0 | string %},{% set zero_str = 0 | string %},Correct,
"31. convert the number 0 to string and store in ""zero_str""",{% set zero_str = 0 | string %},"{% set zero_str = ""0"" %}",Correct,
"Print list [1,2,3]","{{ [1, 2, 3] }}","{% set temp = [1, 2, 3] %} {% print temp | string %}",Correct,
"Render a boolean value ""true""",{{ true }},{% set temp = true %} {% print temp | string %},Correct,
"35. print the string ""Success!""","{{ ""Success!"" }}","{% print  ""Success!"" %}",Correct,
36. render the number 3.14,{{ 3.14 }},{{ 3.14 }},Correct,
"37. convert ""ADMIN"" to lowercase and print it","{{ ""ADMIN"" | lower }}","{% print lower(""ADMIN"") %}",Correct,
"38. convert variable ""department"" to uppercase and render it",{{ department.upper() }},{{ upper(department) }},Correct,
"39. convert ""user profile"" to title case and print it","{{ ""user profile"".title() }}","{% print title(""user profile"") %}",Correct,
"40. truncate variable ""budget"" and print it",{{ budget|truncate(40) }},{% print truncate(budget) %},Correct,
"42. concatenate ""Version "" and ""2.0"" and print it","{{ ""Version "" + ""2.0"" }}","{% set temp = ""Version"" ~  ""2.0"" % }{% print temp %}",Correct,
"43 convert variable ""country"" to upper case, join with variable ""city"", and print it.",{{ city + country | upper }},{% set temp = upper(country) ~ city %} {% print  temp %},Correct,
